index,sentences,greeting,misc:books,misc:hats,misc:balls,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement,thanks,numeric,same,annotated,cluster
0,i would like 4 hats and you can have the rest .,False,,,,,4,,rest,rest,rest,,,False,,False,True,26
1,deal,False,,,,,,,,,,,Full,False,,False,True,0
2,you can have all the hats if i get the book and basketballs .,False,,,,1,,all,,all,,,,False,,False,True,14
3,hi i would like the book and ball and you can have the hats,True,,,,1,,1,,all,,,,False,,False,True,23
4,ill take the book,False,,,,1,,,,,,,,False,,False,True,-1
5,deal,False,,,,,,,,,,,Full,False,,False,True,0
6,i can give you either the book or the ball,False,,,,,,,?,,?,,,False,,False,True,28
7,ok i will take the hats and ball,False,,,,,all,1,,,,,,False,,False,True,15
8,i would like the hat and 3 books,False,,,,3,1,,,,,,,False,,False,True,7
9,i need to have the hat,False,,,,,1,,,,,,,False,,False,True,19
10,no it's not,False,,,,,,,,,,,No,False,,False,True,2
11,let me have two books and the hats,False,,,,2,all,,,,,,,False,,False,True,20
12,cant do it,False,,,,,,,,,,,No Deal,False,,False,True,16
13,so the hats and a book for me ?,False,,,,1,all,,,,,,,False,,False,True,18
14,"im a reader , so id like the books . . . . you may have the hats and ball",False,,,,all,,,,all,1,,,False,,False,True,23
15,its a trilogy so i really need to hold on to all the books,False,,,,all,,,,,,,,False,,False,True,-1
16,"ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal",False,,,,2,,1,,,,,Counter,False,,False,True,-1
17,yes,False,,,,,,,,,,,Full,False,,False,True,9
18,lemme get that book and ball !,False,,,,1,,1,,,,,,False,,False,True,28
19,i'll take the book and two hats then ?,False,,,,1,2,,,,,,,False,,False,True,20
20,i need 2 balls and a hat,False,,,,,1,2,,,,,,False,,False,True,19
21,ok,False,,,,,,,,,,,Full,False,,False,True,5
22,hello . i would like the book and one ball .,True,,,,1,,1,,,,,,False,,False,True,-1
23,i need the book or it's no deal .,False,,,,1,,,,,,,,False,,False,True,-1
24,ok no deal,False,,,,,,,,,,,No Deal,False,,False,True,-1
25,alright,False,,,,,,,,,,,Full,False,,False,True,16
26,alright no deal,False,,,,,,,,,,,No Deal,False,,False,True,-1
27,you can have one ball 1 hat,False,,,,,,,,1,1,,,False,,False,True,19
28,no deal i am keeping the book,False,,,,1,,,,,,,No,False,,False,True,32
29,okay sounds good,False,,,,,,,,,,,Yes,False,,False,True,16
30,okay,False,,,,,,,,,,,Full,False,,False,True,4
31,okay its no deal,False,,,,,,,,,,,No,False,,False,True,16
32,i love basketball and reading,False,,,,all,,all,,,,,,False,,False,True,14
33,both balls ?,False,,,,,,,,,,True,,False,,False,True,19
34,ok i want the hat and you can have the rest,False,,,,,1,,all,,all,,Yes,False,,False,True,19
35,ok,False,,,,,,,,,,,Full,False,,False,True,5
36,no . i want the hat and the balls,False,,,,,1,all,,,,,No,False,,False,True,19
37,yeah or 1 ball and 1 book,False,,,,1,,1,,,,,Yes,False,,False,True,29
38,okay deal ill take the books and the balls you can have only the hat,False,,,,all,,all,,1,,,Yes,False,,False,True,34
39,i really just need the 2 books and 1 hat,False,,,,2,1,,,,,,,False,,False,True,20
40,you mean both balls ?,False,,,,,,,,,,True,,False,,False,True,19
41,ok i will take both books and you can have the rest,False,,,,2,,,,all,all,,Yes,False,,False,True,-1
42,well now . i see two of everything . how about we split it down the middle ?,False,,,,1,1,1,1,1,1,,,False,,False,True,19
43,"hmm . i could give you the two books , but i'd need both hats and both books in exchange .",False,,,,,2,,2,,,,,False,,False,True,25
44,"gah , yeah . sorry .",False,,,,,,,,,,,Yes,False,,False,True,16
45,deal,False,,,,,,,,,,,Full,False,,False,True,0
46,gimme books and hat,False,,,,all,1,,,,,,,False,,False,True,-1
47,yes,False,,,,,,,,,,,Full,False,,False,True,9
48,i would like the ball and two books,False,,,,2,,1,,,,,,False,,False,True,-1
49,can i have one book,False,,,,1,,,,,,,,False,,False,True,-1
50,2 ball 1 book,False,1,,2,,,,,,,,,False,,False,True,25
51,"i'll take the hat , you can have the rest .",False,,,,,1,,all,,all,,,False,,False,True,19
52,i can give you the hat and the balls if i keep the books .,False,,,,all,,,,1,all,,,False,,False,True,-1
53,can you either give me the hat or 3 of the books ?,False,,,,3,1,,,,,,,False,,False,True,7
54,yeah i have no idea how to do that .,False,,,,,,,,,,,No,False,,False,True,16
55,"oh , how about i get 2 books ?",False,,,,2,,,,,,,,False,,False,True,20
56,yes .,False,,,,,,,,,,,Full,False,,False,True,16
