,sentences,Actual,Predicted
0,_deal,deal,ok
1,_need( _hats 1 ),i need to have the hat,1 hat for me
2,_no,no it's not,no deal
3,_need( _books 1 _hats all ),so the hats and a book for me?,all the hats and one book
4,_need( _books all ) _offer( _hats all _balls 1),"im a reader, so id like the books.... you may have the hats and ball","books to me, you get the hats and one ball"
5,_need( _books 1 _hats 2 ),i'll take the book and two hats then?,book and 2 hats for me
6,_need( _hats 1 _balls 2),i need 2 balls and a hat,2 balls and 1 hat for me
7,_need( _books 1 ),i need the book or it's no deal.,i can have the book?
8,_nodeal,alright no deal,no deal
9,_offer( _hats 1 _balls 1),you can have one ball 1 hat,1 hat and 1 ball
10,_no _need( _books 1 ),no deal i am keeping the book,no i need the book
11,_deal,okay,sounds good
12,_yes _need( _hats 1 ) _offer( _books all _balls all),ok i want the hat and you can have the rest,"alright, you can have the hat. i'll take the books and the balls"
13,_need( _hats 1 ) _offer( _books all _balls all),"i'll take the hat, you can have the rest.",all the books and the balls
14,_need( _books 2 _hats 1 _balls all),"i would like the balls, hat and 2 books",2 books 1 hat and balls for me
15,_need( _books all _balls all) _offer( _hats all ),"you did not suggest hat and ball. you suggested i take the ball, that makes you unreasonable so dont be a hypocrite. you can have only the hats at this point","balls and books for me, you get all the hats"
16,_need( _books 1 _hats all ) _offer( _books rest _balls all),i can take the hats and one book and you can have the res,book and hats to you
17,_deal,deal.,ok
18,_yes,yes. deal?,ok
19,_need( _books 1 _hats 1 ) _offer( _balls all),"i'll take the book and hat, you can have the balls","book and hat to me, you get the balls"
20,_need( _books 1 _hats 1 _balls 1),i would like 1 of each,1 ball and a hat for me
21,_deal,"okay, it's a deal.",ok
22,_need( _hats all ) _offer( _books all _balls all),i need the hats you can have everything else,all books and balls for you?
23,_nodeal,no deal,no deal
24,_need( _books all _hats all ) _offer( _balls all),i'll take books and hat if you want the balls,"all books and hats to me, you can have the balls"
25,_greeting,hello,hello
26,_deal,deal!,ok
27,_deal,ok deal,ok
28,_need( _books 1 _balls 2),i'll take two balls and the book.,book and 2 balls for me
29,_need( _books 1 _hats 1 _balls 1),"okay, i'll take the hat, one ball and one book?",1 book and 1 ball for me
30,_deal,deal,ok
31,_counteroffer _need( _hats 1 ),"sorry, i won<unk> t make a deal without a hat",i'll take the hat
32,_need( _hats all _balls 1),i need the hats and the ball,balls and hats for me
33,_nodeal,no deal,no deal
34,_nodeal,no deal,no deal
35,_deal,okay,deal
36,_deal,okay thank you.,ok
37,_deal,okay.,deal
38,_yes _need( _hats 2 ),"fine, i get both hats",sure i can't have 2 hats
39,_need( _books all _hats all ) _offer( _balls all),take all the balls i keep everything else,"all hats and books to me, you can have the balls"
40,_need( _hats 1 ),"can i keep a hat at least, its cold",and i can have the hat
41,_deal,deal,deal
42,_need( rest) _offer( _hats 1 ),could you just take the hat and give me the rest?,all i want is the hat and you can have the rest
43,_greeting _need( _hats 1? _balls 2),"hi, i would like 2 balls and 1 hat.",alright i'd like the hat and 2 balls
44,_need( _balls 1) _offer( _books 1 ),can i have 1 ball and give you a book for it?,"ball for me, you can have 1 book"
45,_deal,deal,deal
46,_deal,sounds like a deal!,deal
47,_need( rest) _offer( _balls 3),"so 3 balls for you, the rest to me?","3 balls to you, rest to me"
48,_need( _hats 1 _balls 2),hat and two balls for me,i'll take the ball and 1 hat
49,_need( _balls 2) _offer( rest),"i'd like to have 2 balls, please. you can have the rest",2 balls and i can have the rest
50,_need( _books 1 _hats 1 _balls 1),"can i have the the book, one hat and one ball",ball and hat for me
51,_need( _hats 1 _balls 2),i would like hat and 2 balls,2 balls and 1 hat for me
52,_deal,"ok, deal",ok
53,_need( _hats 1 _balls 2) _offer( _books all ),you can take all the books but i would like 2 balls at least and one hat,2 balls and 1 hat to me
54,_need( _books 1 _hats 1 ),can i have the book and the hat?,book and hat for me
55,_deal,deal.,deal
56,_need( _books all _hats 1 ),i need the books and the hat,book and 1 hat for me
57,_deal,deal,ok
58,_deal,deal.,ok
59,_need( rest) _offer( _books 1 _hats 1 ),"back to where we started. you can have a book and a hat, i'll take the rest.",book and hat for you
60,_misc( _books 1 ),book,1 book
61,_deal,yes.,ok
62,_nodeal _need( _balls 1),ball is 9 for me. no deal.,no deal.
63,_nodeal,no deal,no deal
64,_nodeal,nope,no deal
65,_deal,yes,ok
66,_deal,agreed,deal
67,_deal,yup,ok
68,_deal,ok,ok
69,_deal,awesome!,ok
70,_deal,ok deal,ok
71,_deal,sounds good.,deal
72,_nodeal,no deal,no deal
73,_nodeal,no deal,no deal
