,input,actual,predicted
0,_deal,deal,"(0, 'deal')"
1,_need _hats 1 ,i need to have the hat,"(1, 'i need the hat and a hat')"
2,_no,no it's not,"(2, 'no')"
3,_need _books 1 _hats all ,so the hats and a book for me ?,"(3, 'book and all the hats for me ?')"
4,_need _books all  _offer _hats all _balls 1,"im a reader , so id like the books . . . . you may have the hats and ball","(4, 'all books and hats for you , and a ball for me .')"
5,_need _books 1 _hats 2 ,i'll take the book and two hats then ?,"(5, 'book and 2 hats for me .')"
6,_need _hats 1 _balls 2,i need 2 balls and a hat,"(6, '2 balls and 1 hat for me .')"
7,_need _books 1 ,i need the book or it's no deal .,"(7, 'book and 1 book for me ?')"
8,_nodeal,alright no deal,"(8, 'no deal')"
9,_offer _hats 1 _balls 1,you can have one ball 1 hat,"(9, '1 ball and 1 hat for you .')"
10,_no _need _books 1 ,no deal i am keeping the book,"(10, 'no deal . i need the book .')"
11,_deal,okay,"(11, 'deal')"
12,_yes _need _hats 1  _offer _books all _balls all,ok i want the hat and you can have the rest,"(12, 'alright , i need the hat and all the books and the balls , you can have the ball .')"
13,_need _hats 1  _offer _books all _balls all,"i'll take the hat , you can have the rest .","(13, 'all books and balls for you , i need the hat and a hat')"
14,_need _books 2 _hats 1 _balls all,"i would like the balls , hat and 2 books","(14, '2 books and 1 hat and all balls for me .')"
15,_need _books all _balls all _offer _hats all ,"you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point","(15, 'all books and balls for me , you can have the hats and books .')"
16,_need _books 1 _hats all  _offer _books rest _balls all,i can take the hats and one book and you can have the res,"(16, 'book and all hats for me , you can have the ball and the rest .')"
17,_deal,deal .,"(17, 'deal')"
18,_yes,yes . deal ?,"(18, 'yes')"
19,_need _books 1 _hats 1  _offer _balls all,"i'll take the book and hat , you can have the balls","(19, 'book and hat for me , you can have all the balls .')"
20,_need _books 1 _hats 1 _balls 1,i would like 1 of each,"(20, '1 book and 1 hat and 1 ball for me .')"
21,_deal,"okay , it's a deal .","(21, 'deal')"
22,_need _hats all  _offer _books all _balls all,i need the hats you can have everything else,"(22, 'all books and balls for you , hats and books for me .')"
23,_nodeal,no deal,"(23, 'no deal')"
24,_need _books all _hats all  _offer _balls all,i'll take books and hat if you want the balls,"(24, 'all books and hats for me , you can have the balls and books .')"
25,_greeting,hello,"(25, 'hello')"
26,_deal,deal !,"(26, 'deal')"
27,_deal,ok deal,"(27, 'deal')"
28,_need _books 1 _balls 2,i'll take two balls and the book .,"(28, '2 balls and 1 book for me .')"
29,_need _books 1 _hats 1 _balls 1,"okay , i'll take the hat , one ball and one book ?","(29, '1 book and 1 hat and 1 ball for me .')"
30,_deal,deal,"(30, 'deal')"
31,_counteroffer _need _hats 1 ,"sorry , i won`t make a deal without a hat","(31, 'i need the hat and a hat .')"
32,_need _hats all _balls 1,i need the hats and the ball,"(32, 'all hats and a ball for me ?')"
33,_nodeal,no deal,"(33, 'no deal')"
34,_nodeal,no deal,"(34, 'no deal')"
35,_deal,okay,"(35, 'deal')"
36,_deal,okay thank you .,"(36, 'deal')"
37,_deal,okay .,"(37, 'deal')"
38,_yes _need _hats 2 ,"fine , i get both hats","(38, '2 hats for me ?')"
39,_need _books all _hats all  _offer _balls all,take all the balls i keep everything else,"(39, 'all books and hats for me , you can have the balls and books .')"
40,_need _hats 1 ,"can i keep a hat at least , its cold","(40, 'i need the hat and a hat')"
41,_deal,deal,"(41, 'deal')"
42,_need rest _offer _hats 1 ,could you just take the hat and give me the rest ?,"(42, 'i need the rest , you can have the hat and a hat .')"
43,_greeting _need _hats 1? _balls 2,"hi , i would like 2 balls and 1 hat .","(43, '2 balls and hats for me . hi hi .')"
44,_need _balls 1 _offer _books 1 ,can i have 1 ball and give you a book for it ?,"(44, '1 book for me , 1 ball for you ?')"
45,_deal,deal,"(45, 'deal')"
46,_deal,sounds like a deal !,"(46, 'deal')"
47,_need rest _offer _balls 3,"so 3 balls for you , the rest to me ?","(47, '3 balls for me , you can take the rest .')"
48,_need _hats 1 _balls 2,hat and two balls for me,"(48, '2 balls and 1 hat for me .')"
49,_need _balls 2 _offer rest,"i'd like to have 2 balls , please . you can have the rest","(49, '2 balls for me , rest for you .')"
50,_need _books 1 _hats 1 _balls 1,"can i have the the book , one hat and one ball","(50, '1 book and 1 hat and 1 ball for me .')"
51,_need _hats 1 _balls 2,i would like hat and 2 balls,"(51, '2 balls and 1 hat for me .')"
52,_deal,"ok , deal","(52, 'deal')"
53,_need _hats 1 _balls 2 _offer _books all ,you can take all the books but i would like 2 balls at least and one hat,"(53, 'i need the hat and two balls and you can have all the books .')"
54,_need _books 1 _hats 1 ,can i have the book and the hat ?,"(54, 'book and one hat for me ?')"
55,_deal,deal .,"(55, 'deal')"
56,_need _books all _hats 1 ,i need the books and the hat,"(56, 'all books and a hat for me ?')"
57,_deal,deal,"(57, 'deal')"
58,_deal,deal .,"(58, 'deal')"
59,_need rest _offer _books 1 _hats 1 ,"back to where we started . you can have a book and a hat , i'll take the rest .","(59, 'book and one hat for you . i need the rest .')"
60,_misc _books 1 ,book,"(60, '1 book')"
61,_deal,yes .,"(61, 'deal')"
62,_nodeal _need _balls 1,ball is 9 for me . no deal .,"(62, 'no deal . i need the ball .')"
63,_nodeal,no deal,"(63, 'no deal')"
64,_nodeal,nope,"(64, 'no deal')"
65,_deal,yes,"(65, 'deal')"
66,_deal,agreed,"(66, 'deal')"
67,_deal,yup,"(67, 'deal')"
68,_deal,ok,"(68, 'deal')"
69,_deal,awesome !,"(69, 'deal')"
70,_deal,ok deal,"(70, 'deal')"
71,_deal,sounds good .,"(71, 'deal')"
72,_nodeal,no deal,"(72, 'no deal')"
73,_nodeal,no deal,"(73, 'no deal')"
74,_misc _hats 2 _balls 2,2 balls and 2 hats,"(74, '2 hats and 2 balls ?')"
75,_deal,"ok , deal .","(75, 'deal')"
76,_deal,thank you .,"(76, 'deal')"
77,_deal,okay deal,"(77, 'deal')"
78,_deal,ok,"(78, 'deal')"
79,_deal,ok deal,"(79, 'deal')"
80,_deal,deal .,"(80, 'deal')"
81,_deal,deal,"(81, 'deal')"
82,_need _hats all _balls 1,bet i take the hats and the ball,"(82, 'all hats and a ball for me ?')"
83,_deal,deal,"(83, 'deal')"
84,_deal,deal .,"(84, 'deal')"
85,_deal,deal,"(85, 'deal')"
86,_misc _books 2 _hats 1 ,"1 hat , 2 books","(86, '2 books and one hat ?')"
87,_deal,okay,"(87, 'deal')"
88,_deal,deal .,"(88, 'deal')"
89,_deal,deal,"(89, 'deal')"
90,_deal,yes,"(90, 'deal')"
91,_deal _thanks,thank you,"(91, 'deal . thank you')"
92,_deal,thank you .,"(92, 'deal')"
93,_deal,deal,"(93, 'deal')"
94,_nodeal,no way,"(94, 'no deal')"
95,_deal,deal .,"(95, 'deal')"
96,_offer _hats 1 _balls 1,best deal is you can have the ball and 1 hat,"(96, '1 ball and 1 hat for you .')"
97,_misc _books 1 ,book is ten for you ?,"(97, '1 book')"
98,_misc _books 1 _hats all _balls 1,book and hats 1 ball,"(98, 'book and all hats and one ball ?')"
99,_nodeal,no deal,"(99, 'no deal')"
100,_deal,deal,"(100, 'deal')"
101,_deal,yes,"(101, 'deal')"
102,_deal,okay deal .,"(102, 'deal')"
103,_need _hats 1 _balls 2 _offer _books 3 ,any chance you'd take three books and i could have the hat and two balls ?,"(103, '3 books for me , 2 hats and 1 ball for you .')"
104,_nodeal,agreed . no deal .,"(104, 'no deal')"
105,_misc _books 1 _balls 1,and 1 book along with 1 ball ?,"(105, '1 book and 1 ball ?')"
106,_nodeal,no can do,"(106, 'no deal')"
