,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
0,i would like 4 hats and you can have the rest .,FALSE,,4,,all,0,all,,
1,you can have all the hats if i get the book and basketballs .,FALSE,1,,all,,all,,,
2,i would like the hat and 3 books,FALSE,3,1,,,,,,
3,"im a reader , so id like the books . . . . you may have the hats and ball",TRUE,all,,,,all,1,,
4,hello . i would like the book and one ball .,FALSE,1,,1,,,,,
5,i love basketball and reading,FALSE,all,,all,,,,,
6,well now . i see two of everything . how about we split it down the middle ?,FALSE,1,1,1,1,1,1,,
7,i would like the ball and two books,FALSE,2,,1,,,,,
8,"i'll take the hat , you can have the rest .",FALSE,,1,,all,,all,,
9,if i can have the hats and the books you can have the ball,FALSE,all,all,,,,1,,
10,"hi there . i'd like a hat and a book , thank you much .",TRUE,1,1,,,,,,
11,i need both balls and 1 book,FALSE,1,,2,,,,,
12,i need that ball so bad ! what do you want ?,FALSE,,,1,,,,TRUE,
13,i would like the ball and the books,FALSE,all,,1,,,,,
14,"hi , i would like the ball and 2 hats and you can have the book and 1 hat",TRUE,,2,1,1,1,,,
15,"hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books .",TRUE,,all,,all,,all,,
16,"i'll take the book and hat , you can have the balls",FALSE,1,1,,,,all,,
17,i would like 1 of each,FALSE,1,1,1,,,,,
18,i would like the ball and the books,FALSE,all,,1,,,,,
19,"i'd like the basketball and the hat , you can keep all 4 books ?",FALSE,,1,1,all,,,,
20,what would you like,FALSE,,,,,,,TRUE,
21,balls and hats for me,FALSE,,all,all,,,,,
22,i'm interested in the book and both balls in exchange for the hats .,FALSE,1,,2,,all,,,
23,i'll take books and hat if you want the balls,FALSE,all,1,,,,all,,
24,hello,TRUE,,,,,,,,
25,i need 2 hats and 1 ball .,FALSE,,2,1,,,,,
26,i would like the hat and two balls,FALSE,,1,2,,,,,
27,if i can have the balls and the book you can have the hats,FALSE,1,,all,,all,,,
28,i'll take one of each if that's ok ?,FALSE,1,1,1,,,,,
29,i want two hats,FALSE,,2,,,,,,
30,i need the hats and the ball,FALSE,,all,1,,,,,
31,you can have the balls if i can have the book and hat,FALSE,1,1,,,,all,,
32,i'd like the hats and balls . what do you want ?,FALSE,,all,all,,,,TRUE,
33,i need the balls and the hat,FALSE,,1,all,,,,,
34,i'll take the book and two balls you .,FALSE,1,,2,,,,,
35,take all the balls i keep everything else,FALSE,all,all,,,,all,,
36,i need the balls and a hat,FALSE,,1,all,,,,,
37,i'd like the hats and books,FALSE,all,all,,,,,,
38,"hi , i would like 2 balls and 1 hat .",TRUE,,1,2,,,,,
39,i want the balls . i can offer you the rest .,FALSE,,,all,all,all,,,
40,i'd like the ball and two hats .,FALSE,,2,1,,,,,
41,i will take 1 book and 1 ball,FALSE,1,,1,,,,,
42,i want the hat and 2 balls,FALSE,1,,2,,,,,
43,what would you like,FALSE,,,,,,,TRUE,
44,i'd like the balls for sure ; i'd like a hat but only if they're not of value to you .,FALSE,1,,all,,,,,
45,what do you want ?,FALSE,,,,,,,TRUE,
46,the book and hat for me,FALSE,1,1,,,,,,
47,i'd like the ball and one hat,FALSE,,1,1,,,,,
48,i do a lot of reading outside and could really use a book and a hat .,FALSE,1,1,,,,,,
49,"i'd like to have 2 balls , please . you can have the rest",FALSE,,,2,all,all,,,
50,i'd like the two hats and the book .,FALSE,1,2,,,,,,
51,i would like hat and 2 balls,FALSE,,1,2,,,,,
52,i like 1 book 1 hat and 1 ball,FALSE,1,1,1,,,,,
53,i would like the books and the ball .,FALSE,all,,1,,,,,
54,you take the hats and i will take the book and the ball,FALSE,1,,1,,all,,,
55,what do you need ?,FALSE,,,,,,,TRUE,
56,i would all the books and one ball and one hat,FALSE,all,1,1,,,,,
57,can i have balls ? you can have the rest .,FALSE,,,all,all,all,,,
58,"hi , can i have all the balls ?",TRUE,,,all,,,,,
59,if i can get the books you can have the rest,FALSE,all,,,all,all,,,
60,i would like all the balls and the hat .,FALSE,,1,all,,,,,
61,hi i would like the ball and hats and you can have the books,TRUE,,all,1,all,,,,
62,i need the books and the hat,FALSE,all,1,,,,,,
63,"can i have the book and hat , you keep the balls ?",FALSE,1,1,,,,all,,
64,i'd like balls . you can have rest .,FALSE,,,all,all,all,,,
65,i want the books and one ball,FALSE,all,,1,,,,,
66,i would like just 2 books and 1 hat,FALSE,2,1,,,,,,
67,which items do you want ?,FALSE,,,,,,,TRUE,
68,"how about you take the books , i take the rest",FALSE,,all,all,all,,,,
69,i need the book and the hat you can have the rest,FALSE,1,1,,,,all,,
70,give me your books and ill give you hats and ball,FALSE,all,,,,all,1,,
71,can i get the balls and the hat ?,FALSE,,1,all,,,,,
72,i want one of each .,FALSE,1,1,1,,,,,
73,i'll take a ball book and a hat,FALSE,1,1,1,,,,,
74,"one hat one book to me , all else to you",FALSE,1,1,,rest,rest,all,,
75,i would like the ball and hat,FALSE,,1,1,,,,,
76,can i have ball and book ?,FALSE,1,,1,,,,,
77,hello .,TRUE,,,,,,,,
78,if i can have the ball and the books you can have the hats,FALSE,all,,1,,all,,,
79,i want the balls . you can have the rest .,FALSE,,,all,all,all,,,
80,i'd like all the hats and the book,FALSE,1,all,,,,,,
81,i would like 1 book and 1 ball,FALSE,1,,1,,,,,
82,i'll take the books . you can have the rest .,FALSE,all,,,,all,all,,
83,if i can have the book and the balls you can have the hats,FALSE,1,,all,,all,,,
84,"what is more valuable to you , the book or ball ?",FALSE,,,,,,,TRUE,
85,i need the book and the balls,FALSE,1,,all,,,,,
86,i'd like the ball and one hat,FALSE,,1,1,,,,,
87,"hi , i want the ball and hat , you can have the 3 books",TRUE,,1,1,3,,,,
88,i just want the 2 books,FALSE,2,,,,,,,
89,you can have the book if i can have the hats and balls,FALSE,,all,all,1,,,,
90,i'd like balls .,FALSE,,,all,,,,,
91,"one book and two hats for me , the rest for u",FALSE,1,2,,rest,rest,all,,
92,i get the book since i love to read and a ball . you get the hat and 2 balls,FALSE,1,,1,,1,2,,
93,i would like the hat and the ball,FALSE,,all,all,all,,,,
94,if i can have the balls and the hats you can have the books,FALSE,,all,all,all,,,,
95,i'll take one of each .,FALSE,1,1,1,,,,,
96,"i'll take the bsall , you can have the rest .",FALSE,,,all,all,all,,,
97,hi what would you like,TRUE,,,,,,,TRUE,
98,"hello i would like the ball , the hat , and 2 books .",TRUE,2,1,1,,,,,
99,i will take the books and the hat .,FALSE,,,,,,,,
100,i would like the books and the hat .,FALSE,,,,,,,,
101,hey what do you want ?,TRUE,,,,,,,,
102,what would you like,FALSE,,,,,,,,
103,what would you like,FALSE,,,,,,,,
104,balls and books for me,FALSE,,,,,,,,
105,what would you like ?,FALSE,,,,,,,,
106,i would like the ball and the hat .,FALSE,,,,,,,,
107,i would like the hats . i can offer you the rest .,FALSE,,,,,,,,
108,i'd like to get two basketballs and one hat,FALSE,,,,,,,,
109,i would like all the balls and 2 other items of your choosing .,FALSE,,,,,,,,
110,hi i absolutely must have the book .,TRUE,,,,,,,,
111,hi . ill take the books and you can have the rest,TRUE,,,,,,,,
112,i would like 1 of each,FALSE,,,,,,,,
113,"hey there , i",TRUE,,,,,,,,
114,i need both hats and a ball,FALSE,,,,,,,,
115,if i can have the hats and the book you can have the balls,FALSE,,,,,,,,
116,i want the hat and book and a ball,FALSE,,,,,,,,
117,i would love the 4 hats,FALSE,,,,,,,,
118,i want one of each,FALSE,,,,,,,,
119,if i can have the balls and the hats you can have the book,FALSE,,,,,,,,
120,i will take 2 books,FALSE,,,,,,,,
121,i need the book and the balls you can have the hat,FALSE,,,,,,,,
122,ill give you the books if i can have the rest,FALSE,,,,,,,,
123,i need the hat and 1 ball,FALSE,,,,,,,,
124,i need the hat and book,FALSE,,,,,,,,
125,can i take the balls and the hats ?,FALSE,,,,,,,,
126,you want the hats ?,FALSE,,,,,,,,
127,"i'd like both balls , the rest to you",FALSE,,,,,,,,
128,if i can have the two books and the ball i can part with the three hats,FALSE,,,,,,,,
129,i want 5 books in exchange for all the balls and 1 hat,FALSE,,,,,,,,
130,i want the hats .,FALSE,,,,,,,,
131,i need 1 ball 2 books,FALSE,,,,,,,,
132,i need the ball and the hats,FALSE,,,,,,,,
133,if i can have the balls and the hat you can have the books,FALSE,,,,,,,,
134,what would you like,FALSE,,,,,,,,
135,could i have two books and a ball please ?,FALSE,,,,,,,,
136,take all the balls i keep everything else,FALSE,,,,,,,,
137,i want the hat and a book and a ball,FALSE,,,,,,,,
138,"i want 1 book , and 2 balls",FALSE,,,,,,,,
139,i'd like 1 book and 2 hats please,FALSE,,,,,,,,
140,i really could use anything . what is good for you ?,FALSE,,,,,,,,
141,i want the ball and 2 books,FALSE,,,,,,,,
142,"can i get a ball , a hat and a book ?",FALSE,,,,,,,,
143,"can i have the ball , 1 book and 1 hat",FALSE,,,,,,,,
144,i would like the hat and the book .,FALSE,,,,,,,,
145,i want 2 hats and 1 book,FALSE,,,,,,,,
146,i'll take the balls and one book,FALSE,,,,,,,,
147,i need ball and 2 hats,FALSE,,,,,,,,
148,i would like the books and the hat and at least one ball .,FALSE,,,,,,,,
149,"i'l take the book , a hat , and a ball",FALSE,,,,,,,,
150,hello ! i would like the books and the rest is negotiable . what works best for you ?,TRUE,,,,,,,,
151,hi . . . id like both hats and a ball,FALSE,,,,,,,,
152,"book to me , all else to you",FALSE,,,,,,,,
153,could i please have the ball a hat and one book,FALSE,,,,,,,,
154,i get the book for the ball,FALSE,,,,,,,,
155,i would like the balls and one hat,FALSE,,,,,,,,
156,i need the hats and the book,FALSE,,,,,,,,
157,i want the books and hats,FALSE,,,,,,,,
158,i want 2 books,FALSE,,,,,,,,
159,i just want the balls,FALSE,,,,,,,,
160,"i'll take the book and hats , you take the balls . deal ?",FALSE,,,,,,,,
161,can i have the ball and two hats ?,FALSE,,,,,,,,
162,i'd like the balls and 1 hat ?,FALSE,,,,,,,,
163,if i can have the book and the balls you can have the hats,FALSE,,,,,,,,
164,"i just want the ball , you can have the rest",FALSE,,,,,,,,
165,"one hat to me , all else to you",FALSE,,,,,,,,
166,i would like the book and the hats .,FALSE,,,,,,,,
167,"im not much of a reader so im thinking books for you , hats and ball for me",FALSE,,,,,,,,
168,the book and a ball please,FALSE,,,,,,,,
169,i like to read,FALSE,,,,,,,,
170,i need the books and the hat,FALSE,,,,,,,,
171,"i'd like the hats , you can have the rest",FALSE,,,,,,,,
172,can i have the books and a hat please ?,FALSE,,,,,,,,
173,what would you like,FALSE,,,,,,,,
174,i'd like both balls and 1 hat please,FALSE,,,,,,,,
175,i'd like book and hats .,FALSE,,,,,,,,
176,i would like the ball and hat please,FALSE,,,,,,,,
177,i want one book and one hat and you can have the rest .,FALSE,,,,,,,,
178,i will give you the books if i can have the rest,FALSE,,,,,,,,
179,if i can have the balls and the hats you can have the book,FALSE,,,,,,,,
180,"i'd like the book and ball , the hats to you",FALSE,,,,,,,,
181,i can offer you one ball or one book,FALSE,,,,,,,,
182,i want both hats and a book,FALSE,,,,,,,,
183,could i have the books and one ball,FALSE,,,,,,,,
184,i would like a ball and a book . you can have all 4 hats,FALSE,,,,,,,,
185,i would like the balls and one hat .,FALSE,,,,,,,,
186,2 balls for me and 2 hats and a book for you ?,FALSE,,,,,,,,
187,i wouldlike the books and 2 hats,FALSE,,,,,,,,
188,give me ball and 2 hats,FALSE,,,,,,,,
189,give me hat and balls,FALSE,,,,,,,,
190,the book and the ball,FALSE,,,,,,,,
