,sentences,Actual,Predicted
0,deal,_deal,_deal
1,i need to have the hat,_need( _hats 1 ),_need( _hats 1 )
2,no it's not,_no,_nodeal
3,so the hats and a book for me?,_need( _books 1 _hats all ),_counteroffer _need( _books 1 _hats all )
4,"im a reader, so id like the books.... you may have the hats and ball",_need( _books all ) _offer( _hats all _balls 1),_need( _books all ) _offer( _hats all _balls all)
5,i'll take the book and two hats then?,_need( _books 1 _hats 2 ),_need( _books 1 _hats 2 )
6,i need 2 balls and a hat,_need( _hats 1 _balls 2),_need( _hats 1 _balls 2)
7,i need the book or it's no deal.,_need( _books 1 ),_need( _books 1 )
8,alright no deal,_nodeal,_no
9,you can have one ball 1 hat,_offer( _hats 1 _balls 1),_offer( _balls 1)
10,no deal i am keeping the book,_no _need( _books 1 ),_nodeal
11,okay,_deal,_deal
12,ok i want the hat and you can have the rest,_yes _need( _hats 1 ) _offer( _books all _balls all),_need( _hats 1 ) _deal
13,"i'll take the hat, you can have the rest.",_need( _hats 1 ) _offer( _books all _balls all),_need( _hats 1 )
14,"i would like the balls, hat and 2 books",_need( _books 2 _hats 1 _balls all),_need( _books 2 _hats 1 )
15,"you did not suggest hat and ball. you suggested i take the ball, that makes you unreasonable so dont be a hypocrite. you can have only the hats at this point",_need( _books all _balls all) _offer( _hats all ),_need( _hats 1 ) _offer( _balls 1)
16,i can take the hats and one book and you can have the res,_need( _books 1 _hats all ) _offer( _books rest _balls all),_need( _books 1 _balls all) _offer( _books all _hats all )
17,deal.,_deal,_deal
18,yes. deal?,_yes,_deal
19,"i'll take the book and hat, you can have the balls",_need( _books 1 _hats 1 ) _offer( _balls all),_need( _books 1 _hats 1 ) _offer( _balls all)
20,i would like 1 of each,_need( _books 1 _hats 1 _balls 1),_need( _books 1 _balls 1)
21,"okay, it's a deal.",_deal,_deal
22,i need the hats you can have everything else,_need( _hats all ) _offer( _books all _balls all),_need( _hats all ) _offer( rest)
23,no deal,_nodeal,_nodeal
24,i'll take books and hat if you want the balls,_need( _books all _hats all ) _offer( _balls all),_need( _books all _hats 1 )
25,hello,_greeting,_greeting
26,deal!,_deal,_deal
27,ok deal,_deal,_deal
28,i'll take two balls and the book.,_need( _books 1 _balls 2),_need( _books 1 _balls 2)
29,"okay, i'll take the hat, one ball and one book?",_need( _books 1 _hats 1 _balls 1),_need( _books 1 _balls 1)
30,deal,_deal,_deal
31,"sorry, i won<unk> t make a deal without a hat",_counteroffer _need( _hats 1 ),_need( _hats 1 )
32,i need the hats and the ball,_need( _hats all _balls 1),_need( _hats all _balls 1)
33,no deal,_nodeal,_nodeal
34,no deal,_nodeal,_nodeal
35,okay,_deal,_deal
36,okay thank you.,_deal,_deal
37,okay.,_deal,_deal
38,"fine, i get both hats",_yes _need( _hats 2 ),_need( _hats 2 )
39,take all the balls i keep everything else,_need( _books all _hats all ) _offer( _balls all),_need( _balls all)
40,"can i keep a hat at least, its cold",_need( _hats 1 ),_need( _hats 1 )
41,deal,_deal,_deal
42,could you just take the hat and give me the rest?,_need( rest) _offer( _hats 1 ),_offer( _hats 1 )
43,"hi, i would like 2 balls and 1 hat.",_greeting _need( _hats 1? _balls 2),_need( _hats 1 _balls 2)
44,can i have 1 ball and give you a book for it?,_need( _balls 1) _offer( _books 1 ),_offer( _balls 1)
45,deal,_deal,_deal
46,sounds like a deal!,_deal,_deal
47,"so 3 balls for you, the rest to me?",_need( rest) _offer( _balls 3),_need( _balls 1) _offer( rest)
48,hat and two balls for me,_need( _hats 1 _balls 2),_need( _hats 1 _balls 2)
49,"i'd like to have 2 balls, please. you can have the rest",_need( _balls 2) _offer( rest),_need( _balls 2) _offer( rest)
50,"can i have the the book, one hat and one ball",_need( _books 1 _hats 1 _balls 1),_need( _books 1 _balls 1)
51,i would like hat and 2 balls,_need( _hats 1 _balls 2),_need( _hats 1 _balls 2)
52,"ok, deal",_deal,_deal
53,you can take all the books but i would like 2 balls at least and one hat,_need( _hats 1 _balls 2) _offer( _books all ),_need( _hats 1 _balls 2) _offer( _books all )
54,can i have the book and the hat?,_need( _books 1 _hats 1 ),_need( _books 1 _hats 1 )
55,deal.,_deal,_deal
56,i need the books and the hat,_need( _books all _hats 1 ),_need( _books all _hats 1 )
57,deal,_deal,_deal
58,deal.,_deal,_deal
