index,sentences,template
0,i would like 4 hats and you can have the rest .,_need (_hats:4 ) _offer (_books:all _hats:0 _balls:all) 
1,deal,_deal 
2,you can have all the hats if i get the book and basketballs .,_need (_books:1 _balls:all) _offer (_hats:all ) 
3,hi i would like the book and ball and you can have the hats,_greeting _need (_books:1 _balls:1) _offer (_hats:all ) 
4,ill take the book,_need (_books:1 ) 
5,deal,_deal 
6,i can give you either the book or the ball,_offer (_books:? _balls:?) 
7,ok i will take the hats and ball,_need (_hats:all _balls:1) 
8,i would like the hat and 3 books,_need (_books:3 _hats:1 ) 
9,i need to have the hat,_need (_hats:1 ) 
10,no it's not,_nodeal 
11,let me have two books and the hats,_need (_books:2 _hats:all ) 
13,so the hats and a book for me ?,_need (_books:1 _hats:all ) 
14,"im a reader , so id like the books . . . . you may have the hats and ball",_need (_books:all ) _offer (_hats:all _balls:1) 
15,its a trilogy so i really need to hold on to all the books,_need (_books:all ) 
16,"ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal",_counteroffer _offer (_books:2 _balls:1) 
17,yes,_deal 
18,lemme get that book and ball !,_need (_books:1 _balls:1) 
19,i'll take the book and two hats then ?,_need (_books:1 _hats:2 ) 
20,i need 2 balls and a hat,_need (_hats:1 _balls:2) 
21,ok,_deal 
22,hello . i would like the book and one ball .,_greeting _need (_books:1 _balls:1) 
23,i need the book or it's no deal .,_need (_books:1 ) 
24,ok no deal,_nodeal 
25,alright,_deal 
26,alright no deal,_nodeal 
27,you can have one ball 1 hat,_offer (_hats:1 _balls:1) 
28,no deal i am keeping the book,_need (_books:1 ) 
29,okay sounds good,_yes 
30,okay,_deal 
32,i love basketball and reading,_need (_books:all _balls:all) 
34,ok i want the hat and you can have the rest,_yes _need (_hats:1 ) _offer (_books:all _balls:all) 
35,ok,_deal 
36,no . i want the hat and the balls,_need (_hats:1 _balls:all) 
37,yeah or 1 ball and 1 book,_yes _need (_books:1 _balls:1) 
38,okay deal ill take the books and the balls you can have only the hat,_yes _need (_books:all _balls:all) _offer (_hats:1 ) 
39,i really just need the 2 books and 1 hat,_need (_books:2 _hats:1 ) 
41,ok i will take both books and you can have the rest,_yes _need (_books:2 ) _offer (_hats:all _balls:all) 
42,well now . i see two of everything . how about we split it down the middle ?,_need (_books:1 _hats:1 _balls:1) _offer (_books:1 _hats:1 _balls:1) 
43,"hmm . i could give you the two books , but i'd need both hats and both books in exchange .",_need (_hats:2 ) _offer (_books:2 ) 
44,"gah , yeah . sorry .",_yes 
45,deal,_deal 
46,gimme books and hat,_need (_books:all _hats:1 ) 
47,yes,_deal 
48,i would like the ball and two books,_need (_books:2 _balls:1) 
49,can i have one book,_need (_books:1 ) 
50,2 ball 1 book,_misc (_books:1 _balls:2) 
51,"i'll take the hat , you can have the rest .",_need (_hats:1 ) _offer (_books:all _balls:all) 
52,i can give you the hat and the balls if i keep the books .,_need (_books:all ) _offer (_hats:1 _balls:all) 
53,can you either give me the hat or 3 of the books ?,_need (_books:3 _hats:1 ) 
55,"oh , how about i get 2 books ?",_need (_books:2 ) 
56,yes .,_deal 
57,"i would like the balls , hat and 2 books",_need (_books:2 _hats:1 _balls:all) 
61,you get 2 books and i get the rest ?,_need (_books:rest _hats:all _balls:all) _offer (_books:2 ) 
62,deal,_deal 
64,no deal ill take the books and the ball you can have the rest,_counteroffer _need (_books:all _balls:1) _offer (_hats:all ) 
65,no ill take the books the hats and the balls then,_counteroffer _need (_books:all _hats:all _balls:all) 
67,"you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point",_need (_books:all _balls:all) _offer (_hats:all ) 
68,if i can have the hats and the books you can have the ball,_need (_books:all _hats:all ) _offer (_balls:1) 
69,i will take the hats and two books and you can have the rest,_need (_books:2 _hats:all ) _offer (_books:rest _balls:all) 
70,i can take the hats and one book and you can have the res,_need (_books:1 _hats:all ) _offer (_books:rest _balls:all) 
72,well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything,_counteroffer _need (_books:? _hats:all _balls:?) 
73,"hi there . i'd like a hat and a book , thank you much .",_greeting _need (_books:1 _hats:1 ) 
75,deal,_deal 
76,i need both balls and 1 book,_need (_books:1 _balls:2) 
77,okay so i get both balls and 1 book,_need (_books:1 _balls:2) 
78,deal .,_deal 
79,"i'd like 2 hats , and 1 ball .",_need (_hats:2 _balls:1) 
80,let's split them in half,_need (_hats:1 ) _offer (_hats:1 ) 
81,i need that ball so bad ! what do you want ?,_need (_balls:1) 
82,could i also have one hat maybe ? pretty please ?,_need (_hats:1 ) 
83,"if that's the offer , then you just take the book because they have no value for me .",_offer (_books:1 ) 
84,i mean i'll take the rest,_need (_books:rest _hats:rest _balls:rest) 
85,"you drive a hard bargain here , ball and a book ?",_need (_hats:1 _balls:1) 
86,"hello , how about i get the book and the hats and you can have the balls ?",_greeting _need (_books:1 _hats:all ) _offer (_balls:all) 
