g,dialog,selection,reward,outcome
1 0 4 2 1 2 ,"['YOU: i would like 4 hats and you can have the rest . ', ' THEM: deal ']", item0=0 item1=4 item2=0 ,8 agree, 1 4 4 1 1 2
1 4 4 1 1 2 ,"['THEM: i would like 4 hats and you can have the rest . ', ' YOU: deal ']", item0=1 item1=0 item2=1 ,6 agree, 1 0 4 2 1 2
1 6 3 0 2 2 ,['YOU: you can have all the hats if i get the book and basketballs . '], item0=1 item1=3 item2=2 ,10 disagree, 1 2 3 2 2 1
1 10 3 0 1 0,"[' YOU: hi i would like the book and ball and you can have the hats ', ' THEM: i can give you either the book or the ball ', ' YOU: ill take the book ', ' THEM: ok i will take the hats and ball ', ' YOU: deal ']", item0=1 item1=0 item2=0 ,10 agree, 1 2 3 2 1 2
1 2 3 2 1 2 ,"['THEM: hi i would like the book and ball and you can have the hats ', ' YOU: i can give you either the book or the ball ', ' THEM: ill take the book ', ' YOU: ok i will take the hats and ball ', ' THEM: deal ']", item0=0 item1=3 item2=1 ,8 agree ,1 10 3 0 1 0
4 1 1 6 2 0 ,"['YOU: i would like the hat and 3 books ', ' THEM: can i have the hat and the balls ? ', ' YOU: i need to have the hat ', ' THEM: take the books and give me the hat , its a win win , right ? ', "" YOU: no it's not ""]", item0=4 item1=1 item2=0 ,10 disagree, 4 0 1 6 2 2
3 2 3 1 1 1 ,"['THEM: im a reader , so id like the books . . . . you may have the hats and ball ', ' YOU: let me have two books and the hats ', ' THEM: its a trilogy so i really need to hold on to all the books ', ' YOU: cant do it ', ' THEM: ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal ', ' YOU: so the hats and a book for me ? ', ' THEM: yes ']", item0=1 item1=3 item2=0 ,5 agree, 3 3 3 0 1 1
3 3 3 0 1 1 ,"['YOU: im a reader , so id like the books . . . . you may have the hats and ball ', ' THEM: let me have two books and the hats ', ' YOU: its a trilogy so i really need to hold on to all the books ', ' THEM: cant do it ', ' YOU: ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal ', ' THEM: so the hats and a book for me ? ', ' YOU: yes ']", item0=2 item1=0 item2=1 ,7 agree, 3 2 3 1 1 1
1 10 3 0 2 0,"[' YOU: lemme get that book and ball ! ', ' THEM: i need 2 balls and a hat ', "" YOU: i'll take the book and two hats then ? "", ' THEM: ok ']", item0=1 item1=2 item2=0 ,10 agree, 1 1 3 1 2 3
1 1 3 1 2 3 ,"['THEM: lemme get that book and ball ! ', ' YOU: i need 2 balls and a hat ', "" THEM: i'll take the book and two hats then ? "", ' YOU: ok ']", item0=0 item1=1 item2=2 ,7 agree ,1 10 3 0 2 0
