index,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
0,i would like 4 hats and you can have the rest .,False,,4,,all,0,all,,
1,deal,False,,,,,,,,Full
2,you can have all the hats if i get the book and basketballs .,False,1,,all,,all,,,
3,hi i would like the book and ball and you can have the hats,TRUE,1,,1,,all,,,
4,ill take the book,FALSE,1,,,,,,,
5,deal,FALSE,,,,,,,,Full
6,i can give you either the book or the ball,FALSE,,,,?,,?,,
7,ok i will take the hats and ball,FALSE,,all,1,,,,,
8,i would like the hat and 3 books,False,3,1,,,,,,
9,i need to have the hat,FALSE,,1,,,,,,
10,no it's not,FALSE,,,,,,,,No
11,let me have two books and the hats,FALSE,2,all,,,,,,
12,cant do it,FALSE,,,,,,,,No
13,so the hats and a book for me ?,FALSE,1,all,,,,,,
14,"im a reader , so id like the books . . . . you may have the hats and ball",False,all,,,,all,1,,
15,its a trilogy so i really need to hold on to all the books,FALSE,all,,,,,,,
16,"ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal",FALSE,,,,2,,1,,Counter
17,yes,FALSE,,,,,,,,Full
18,lemme get that book and ball !,FALSE,1,,1,,,,,
19,i'll take the book and two hats then ?,FALSE,1,2,,,,,,
20,i need 2 balls and a hat,FALSE,,1,2,,,,,
21,ok,FALSE,,,,,,,,Full
22,hello . i would like the book and one ball .,True,1,,1,,,,,
23,i need the book or it's no deal .,FALSE,1,,,,,,,
24,ok no deal,FALSE,,,,,,,,No
25,alright,FALSE,,,,,,,,Yes
26,alright no deal,FALSE,,,,,,,,No
27,you can have one ball 1 hat,FALSE,,,,,1,1,,
28,no deal i am keeping the book,FALSE,1,,,,,,,No
29,okay sounds good,FALSE,,,,,,,,Yes
30,okay,FALSE,,,,,,,,Yes
31,okay its no deal,FALSE,,,,,,,,No
32,i love basketball and reading,FALSE,all,,all,,,,,
33,both balls ?,FALSE,,,,,,,TRUE,
34,ok i want the hat and you can have the rest,FALSE,,1,,all,,all,,Yes
35,ok,FALSE,,,,,,,,Yes
36,no . i want the hat and the balls,FALSE,,1,all,,,,,No
37,yeah or 1 ball and 1 book,FALSE,1,,1,,,,,Yes
38,okay deal ill take the books and the balls you can have only the hat,FALSE,all,,all,,1,,,Yes
39,i really just need the 2 books and 1 hat,FALSE,2,1,,,,,,
40,you mean both balls ?,FALSE,,,,,,,TRUE,
41,ok i will take both books and you can have the rest,FALSE,2,,,,all,all,,Yes
42,well now . i see two of everything . how about we split it down the middle ?,FALSE,1,1,1,1,1,1,,
43,"hmm . i could give you the two books , but i'd need both hats and both books in exchange .",FALSE,,2,,2,,,,
44,"gah , yeah . sorry .",FALSE,,,,,,,,Yes
45,deal,FALSE,,,,,,,,Yes
46,gimme books and hat,FALSE,all,1,,,,,,
47,yes,FALSE,,,,,,,,Yes
48,i would like the ball and two books,FALSE,2,,1,,,,,
49,can i have one book,FALSE,1,,,,,,,
50,2 ball 1 book,FALSE,1,,2,,,,,
51,"i'll take the hat , you can have the rest .",FALSE,,1,,all,,all,,
52,i can give you the hat and the balls if i keep the books .,FALSE,all,,,,1,all,,
53,can you either give me the hat or 3 of the books ?,FALSE,3,1,,,,,,
54,yeah i have no idea how to do that .,FALSE,,,,,,,,No
55,"oh , how about i get 2 books ?",FALSE,2,,,,,,,
56,yes .,FALSE,,,,,,,,Yes
57,"i would like the balls , hat and 2 books",FALSE,2,1,all,,,,,
58,sorry that wont work .,FALSE,,,,,,,,No
59,sorry looks like we wont be making a deal,FALSE,,,,,,,,No
60,we keep saying no deal until the no deal button appears,FALSE,,,,,,,,No
61,you get 2 books and i get the rest ?,FALSE,rest,all,all,2,,,,
62,deal,FALSE,,,,,,,,Yes
63,so you want me to only have the ball ? no deal make me a better offer,FALSE,,,,,,,,No
64,no deal ill take the books and the ball you can have the rest,FALSE,all,,1,,all,,,Counter
65,no ill take the books the hats and the balls then,FALSE,all,all,all,,,,,Counter
66,it is an option .,FALSE,,,,,,,TRUE,
67,"you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point",FALSE,all,,all,,all,,,
68,if i can have the hats and the books you can have the ball,False,all,all,,,,1,,
69,i will take the hats and two books and you can have the rest,FALSE,2,all,,rest,,all,,
70,i can take the hats and one book and you can have the res,FALSE,1,all,,rest,,all,,
71,clearly that isn't an option,FALSE,,,,,,,,No
72,well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything,FALSE,?,all,?,,,,,Counter
73,"hi there . i'd like a hat and a book , thank you much .",True,1,1,,,,,,
74,gracias !,FALSE,,,,,,,,
75,deal,FALSE,,,,,,,,Yes
76,i need both balls and 1 book,False,1,,2,,,,,
77,okay so i get both balls and 1 book,FALSE,1,,2,,,,,
78,deal .,FALSE,,,,,,,,Yes
79,"i'd like 2 hats , and 1 ball .",FALSE,,2,1,,,,,
80,let's split them in half,FALSE,,1,,,1,,,
81,i need that ball so bad ! what do you want ?,False,,,1,,,,True,
82,could i also have one hat maybe ? pretty please ?,FALSE,,1,,,,,,
83,"if that's the offer , then you just take the book because they have no value for me .",FALSE,,,,1,,,,
84,i mean i'll take the rest,FALSE,rest,rest,rest,,,,,
85,"you drive a hard bargain here , ball and a book ?",FALSE,,1,1,,,,,
86,"hello , how about i get the book and the hats and you can have the balls ?",TRUE,1,all,,,,all,,
87,"ok , so the book and 2 balls for me and you get the hats and a ball ?",FALSE,1,,2,,all,1,,
88,no i want the hats and a ball,FALSE,,all,1,,,,,Counter
89,yes sounds perfect . deal,FALSE,,,,,,,,Yes
90,i would like the ball and the books,False,all,,1,,,,,
91,i can not do that . i do need the ball .,FALSE,,,1,,,,,Counter
92,you can have both hats . can i have 1 book and the ball ?,FALSE,1,,1,,2,,,
93,okay . deal,FALSE,,,,,,,,Yes
94,i will give you both books and a hat,FALSE,,,,2,1,,,
95,if you give me both hats and both books i will give you the ball,FALSE,2,2,,,,1,,
96,no i need both hats and both books,FALSE,2,2,,,,,,Counter
97,"hi , i would like the ball and 2 hats and you can have the book and 1 hat",True,,2,1,1,1,,,
98,"ok , i can do that .",FALSE,,,,,,,,Yes
99,i rather like the ball also . you can have all three hats if i get the ball and book .,FALSE,1,,1,,all,,,
100,"hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books .",True,,all,,all,,all,,
101,"yeah i can do that , where i get 2 hats and the books as well",FALSE,all,2,,,,,,Counter
102,deal,FALSE,,,,,,,,Yes
103,could i have the ball and 1 hat ?,FALSE,,1,1,,,,,
104,yes . deal ?,FALSE,,,,,,,,Yes
105,"i'll take the book and hat , you can have the balls",False,1,1,,,,all,,
106,"i'll take the book , you can have the rest",FALSE,1,,,,all,all,,
107,i really need that hat and two balls,FALSE,,1,2,,,,,
108,deal,FALSE,,,,,,,,Yes
109,i would like 1 of each,False,1,1,1,,,,,
110,i'll take ball and 1 hat,,,,,,,,,
111,ok,,,,,,,,,
112,i can't do that . i'll take the ball 2 books,,,,,,,,,
113,no sorry . how about i take the ball and you get the rest ?,,,,,,,,,
114,i would like the ball and the books,False,all,,1,,,,,
115,thats not going to work for me unfortunately . i need the ball and at least 1 book minimum,,,,,,,,,
116,yes please . thank you,,,,,,,,,
117,you can have the books but i would like the ball .,,,,,,,,,
118,"hmm . okay , i think i can work with that . i take the hats , you get the ball and books ?",,,,,,,,,
119,"okay , it's a deal .",,,,,,,,,
120,"i'd like the basketball and the hat , you can keep all 4 books ?",,,,,,,,,
121,deal .,,,,,,,,,
122,i need the hats you can have everything else,,,,,,,,,
123,no deal . i need the hats or no deal .,,,,,,,,,
124,no deal .,,,,,,,,,
125,no deal .,,,,,,,,,
126,no deal .,,,,,,,,,
127,what would you like,,,,,,,,,
128,you take all balls and i keep everything,,,,,,,,,
129,no deal,,,,,,,,,
130,no deal,,,,,,,,,
131,no,,,,,,,,,
132,balls and hats for me,,,,,,,,,
133,yes deal,,,,,,,,,
134,can i have one ball and the book ?,,,,,,,,,
135,i'm interested in the book and both balls in exchange for the hats .,,,,,,,,,
136,"i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you .",,,,,,,,,
137,definitely not both balls . we could split them ?,,,,,,,,,
138,deal !,,,,,,,,,
139,"ok , i get rest",,,,,,,,,
140,i want the ball,,,,,,,,,
141,deal,,,,,,,,,
142,i can give you the hat and one of the books .,,,,,,,,,
143,i'll take books and hat if you want the balls,,,,,,,,,
144,ok,,,,,,,,,
145,hello,,,,,,,,,
146,id rather give the balls than the hat,,,,,,,,,
147,ill give you 2 balls and 1 book,,,,,,,,,
148,hi . may i have the books and 1 hat ?,,,,,,,,,
149,"if i can have both the books and 1 ball , you can have the rest .",,,,,,,,,
150,deal !,,,,,,,,,
151,ok deal,,,,,,,,,
152,i need 2 hats and 1 ball .,,,,,,,,,
153,"i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal .",,,,,,,,,
