,input,actual,predicted
0,deal,_deal ,"(0, '_deal')"
1,i need to have the hat,_need( _hats 1 ) ,"(1, '_need( _hats 1 )')"
2,no it's not,_no ,"(2, '_nodeal')"
3,so the hats and a book for me ?,_need( _books 1 _hats all ) ,"(3, '_need( _books 1 _hats all )')"
4,"im a reader , so id like the books . . . . you may have the hats and ball",_need( _books all ) _offer( _hats all _balls 1) ,"(4, '_need( _books 1 _hats all _balls all)')"
5,i'll take the book and two hats then ?,_need( _books 1 _hats 2 ) ,"(5, '_need( _books 1 _hats 2 )')"
6,i need 2 balls and a hat,_need( _hats 1 _balls 2) ,"(6, '_need( _hats 1 _balls 2)')"
7,i need the book or it's no deal .,_need( _books 1 ) ,"(7, '_need( _books 1 )')"
8,alright no deal,_nodeal ,"(8, '_nodeal')"
9,you can have one ball 1 hat,_offer( _hats 1 _balls 1) ,"(9, '_offer( _hats 1 _balls 1)')"
10,no deal i am keeping the book,_no _need( _books 1 ) ,"(10, '_nodeal _offer( _books 1 )')"
11,okay,_deal ,"(11, '_deal')"
12,ok i want the hat and you can have the rest,_yes _need( _hats 1 ) _offer( _books all _balls all) ,"(12, '_deal _need( _hats 1 ) _offer( rest)')"
13,"i'll take the hat , you can have the rest .",_need( _hats 1 ) _offer( _books all _balls all) ,"(13, '_need( _hats 1 ) _offer( rest)')"
14,"i would like the balls , hat and 2 books",_need( _books 2 _hats 1 _balls all) ,"(14, '_need( _books 2 _hats 1 _balls 1)')"
15,"you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point",_need( _books all _balls all) _offer( _hats all ) ,"(15, '_offer _need( _hats 1 _balls 1)')"
16,i can take the hats and one book and you can have the res,_need( _books 1 _hats all ) _offer( _books rest _balls all) ,"(16, '_offer( _books 1 _hats all )')"
17,deal .,_deal ,"(17, '_deal')"
18,yes . deal ?,_yes ,"(18, '_deal')"
19,"i'll take the book and hat , you can have the balls",_need( _books 1 _hats 1 ) _offer( _balls all) ,"(19, '_need( _books 1 _hats 1 ) _offer( all _balls 1)')"
20,i would like 1 of each,_need( _books 1 _hats 1 _balls 1) ,"(20, '_need( _balls 1 )')"
21,"okay , it's a deal .",_deal ,"(21, '_deal')"
22,i need the hats you can have everything else,_need( _hats all ) _offer( _books all _balls all) ,"(22, '_need( _hats all ) _offer( rest)')"
23,no deal,_nodeal ,"(23, '_nodeal _deal')"
24,i'll take books and hat if you want the balls,_need( _books all _hats all ) _offer( _balls all) ,"(24, '_need( _books all _hats 1 ) _offer( all)')"
25,hello,_greeting ,"(25, '_greeting')"
26,deal !,_deal ,"(26, '_deal')"
27,ok deal,_deal ,"(27, '_deal')"
28,i'll take two balls and the book .,_need( _books 1 _balls 2) ,"(28, '_need( _books 1 _balls 2 )')"
29,"okay , i'll take the hat , one ball and one book ?",_need( _books 1 _hats 1 _balls 1) ,"(29, '_yes _need( _books 1 _hats 1) _balls 1)')"
30,deal,_deal ,"(30, '_deal')"
31,"sorry , i won`t make a deal without a hat",_counteroffer _need( _hats 1 ) ,"(31, '_need( _hats 1 _deal )')"
32,i need the hats and the ball,_need( _hats all _balls 1) ,"(32, '_need( _hats 1 _balls 1)')"
33,no deal,_nodeal ,"(33, '_nodeal _deal')"
34,no deal,_nodeal ,"(34, '_nodeal _deal')"
35,okay,_deal ,"(35, '_deal')"
36,okay thank you .,_deal ,"(36, '_deal _thanks')"
37,okay .,_deal ,"(37, '_deal')"
38,"fine , i get both hats",_yes _need( _hats 2 ) ,"(38, '_need( _hats 2 )')"
39,take all the balls i keep everything else,_need( _books all _hats all ) _offer( _balls all) ,"(39, '_need( _balls all)')"
40,"can i keep a hat at least , its cold",_need( _hats 1 ) ,"(40, '_need( _hats 1 )')"
41,deal,_deal ,"(41, '_deal')"
42,could you just take the hat and give me the rest ?,_need( rest) _offer( _hats 1 ) ,"(42, '_need( _hats 1 ) _offer( rest)')"
43,"hi , i would like 2 balls and 1 hat .",_greeting _need( _hats 1? _balls 2) ,"(43, '_greeting _need( _hats 1 _balls 2 )')"
44,can i have 1 ball and give you a book for it ?,_need( _balls 1) _offer( _books 1 ) ,"(44, '_need( _books 1 _balls 1)')"
45,deal,_deal ,"(45, '_deal')"
46,sounds like a deal !,_deal ,"(46, '_deal')"
47,"so 3 balls for you , the rest to me ?",_need( rest) _offer( _balls 3) ,"(47, '_need( rest) _offer( _balls 3 )')"
48,hat and two balls for me,_need( _hats 1 _balls 2) ,"(48, '_need( _hats 2 _balls 1)')"
49,"i'd like to have 2 balls , please . you can have the rest",_need( _balls 2) _offer( rest) ,"(49, '_need( _balls 2 ) _offer( rest)')"
50,"can i have the the book , one hat and one ball",_need( _books 1 _hats 1 _balls 1) ,"(50, '_need( _books 1 _hats 1 ) _balls 1)')"
51,i would like hat and 2 balls,_need( _hats 1 _balls 2) ,"(51, '_need( _hats 2 _balls 1)')"
52,"ok , deal",_deal ,"(52, '_deal')"
53,you can take all the books but i would like 2 balls at least and one hat,_need( _hats 1 _balls 2) _offer( _books all ) ,"(53, '_need( _hats 1 _balls 2)')"
54,can i have the book and the hat ?,_need( _books 1 _hats 1 ) ,"(54, '_need( _books 1 _hats 1 )')"
55,deal .,_deal ,"(55, '_deal')"
56,i need the books and the hat,_need( _books all _hats 1 ) ,"(56, '_need( _books all _hats 1 )')"
57,deal,_deal ,"(57, '_deal')"
58,deal .,_deal ,"(58, '_deal')"
59,"back to where we started . you can have a book and a hat , i'll take the rest .",_need( rest) _offer( _books 1 _hats 1 ) ,"(59, '_need( rest) _offer( _books 1 _hats 1 )')"
60,book,_misc( _books 1 ) ,"(60, '_need( _books 1 )')"
61,yes .,_deal ,"(61, '_deal')"
62,ball is 9 for me . no deal .,_nodeal _need( _balls 1) ,"(62, '_need( _balls 0 _deal')"
63,no deal,_nodeal ,"(63, '_nodeal _deal')"
64,nope,_nodeal ,"(64, '_nodeal')"
65,yes,_deal ,"(65, '_deal')"
66,agreed,_deal ,"(66, '_deal')"
67,yup,_deal ,"(67, '_deal')"
68,ok,_deal ,"(68, '_deal')"
69,awesome !,_deal ,"(69, '_deal')"
70,ok deal,_deal ,"(70, '_deal')"
71,sounds good .,_deal ,"(71, '_deal')"
72,no deal,_nodeal ,"(72, '_nodeal _deal')"
73,no deal,_nodeal ,"(73, '_nodeal _deal')"
74,2 balls and 2 hats,_misc( _hats 2 _balls 2) ,"(74, '_misc( _hats 2 _balls 2)')"
75,"ok , deal .",_deal ,"(75, '_deal')"
76,thank you .,_deal ,"(76, '_deal _thanks')"
77,okay deal,_deal ,"(77, '_deal')"
78,ok,_deal ,"(78, '_deal')"
79,ok deal,_deal ,"(79, '_deal')"
80,deal .,_deal ,"(80, '_deal')"
81,deal,_deal ,"(81, '_deal')"
82,bet i take the hats and the ball,_need( _hats all _balls 1) ,"(82, '_need( _hats all _balls 1)')"
83,deal,_deal ,"(83, '_deal')"
84,deal .,_deal ,"(84, '_deal')"
85,deal,_deal ,"(85, '_deal')"
86,"1 hat , 2 books",_misc( _books 2 _hats 1 ) ,"(86, '_misc( _books 2 _hats 1 )')"
87,okay,_deal ,"(87, '_deal')"
88,deal .,_deal ,"(88, '_deal')"
89,deal,_deal ,"(89, '_deal')"
90,yes,_deal ,"(90, '_deal')"
91,thank you,_deal _thanks ,"(91, '_deal _thanks')"
92,thank you .,_deal ,"(92, '_deal _thanks')"
93,deal,_deal ,"(93, '_deal')"
94,no way,_nodeal ,"(94, '_nodeal')"
